"","Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Quarter","Launch_Year","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Cache_Size","Cache_Type","Instruction_Set","TDP","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth"
"1118","Legacy","Server","W3540","End of Life",1,2009,"45 nm","$594.00 ",4,8,2930,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1119","Legacy","Server","W5580","Launched",1,2009,"45 nm","N/A",4,8,3200,9.01091334727929,"SmartCache","64-bit",130,144,"DDR3 800/1066/1333 ",3,32
"1166","Legacy","Server","X5550","Launched",1,2009,"45 nm","N/A",4,8,2660,9.01091334727929,"SmartCache","64-bit",95,144,"DDR3 800/1066/1333 ",3,32
"1198","Legacy","Server","W3570","End of Life",1,2009,"45 nm","$1,059.00 ",4,8,3200,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066/1333 ",3,32
"1199","Legacy","Server","X5560","Launched",1,2009,"45 nm","N/A",4,8,2800,9.01091334727929,"SmartCache","64-bit",95,144,"DDR3 800/1066/1333 ",3,32
"1226","Legacy","Server","X5570","Launched",1,2009,"45 nm","N/A",4,8,2930,9.01091334727929,"SmartCache","64-bit",95,144,"DDR3 800/1066/1333 ",3,32
"1627","Legacy","Desktop","i7-950","End of Interactive Support",2,2009,"45 nm","$305.00 ",4,8,3060,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1806","Legacy","Desktop","i7-975","End of Interactive Support",2,2009,"45 nm","$1,059.00 ",4,8,3330,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1603","Legacy","Desktop","i5-750","End of Interactive Support",3,2009,"45 nm","$193.00 - $213.00",4,4,2660,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1621","Legacy","Desktop","i7-870","End of Interactive Support",3,2009,"45 nm","$305.00 ",4,8,2930,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1638","Legacy","Desktop","i7-860","End of Interactive Support",3,2009,"45 nm","$257.00 - $305.00",4,8,2800,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1636","Legacy","Mobile","i7-720QM","End of Interactive Support",3,2009,"45 nm","$380.00 ",4,8,1600,8.72323127482751,"SmartCache","64-bit",45,8,"DDR3 1066/1333",2,21
"1637","Legacy","Mobile","i7-820QM","End of Interactive Support",3,2009,"45 nm","N/A",4,8,1730,9.01091334727929,"SmartCache","64-bit",45,8,"DDR3 1066/1333",2,21
"1803","Legacy","Mobile","i7-920XM","End of Interactive Support",3,2009,"45 nm","N/A",4,8,2000,9.01091334727929,"SmartCache","64-bit",55,8,"DDR3 1066/1333",2,21
"1078","Legacy","Server","L3426","End of Life",3,2009,"45 nm","$305.00 ",4,8,1860,9.01091334727929,"SmartCache","64-bit",45,32,"DDR3 800/1066/1333 ",2,21
"1096","Legacy","Server","X3430","Launched",3,2009,"45 nm","$203.00 - $224.00",4,4,2400,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1097","Legacy","Server","L5530","Launched",3,2009,"45 nm","N/A",4,8,2400,9.01091334727929,"SmartCache","64-bit",60,144,"DDR3 800/1066 ",3,25.6
"1117","Legacy","Server","X3440","End of Life",3,2009,"45 nm","$230.00 ",4,8,2530,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1138","Legacy","Server","X3450","Launched",3,2009,"45 nm","$237.00 - $261.00",4,8,2660,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1140","Legacy","Server","W5590","Launched",3,2009,"45 nm","N/A",4,8,3330,9.01091334727929,"SmartCache","64-bit",130,144,"DDR3 800/1066/1333 ",3,32
"1141","Legacy","Server","W3550","End of Life",3,2009,"45 nm","$305.00 ",4,8,3060,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1164","Legacy","Server","X3460","End of Life",3,2009,"45 nm","$328.00 - $339.00",4,8,2800,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1197","Legacy","Server","X3470","End of Life",3,2009,"45 nm","$339.00 ",4,8,2930,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1225","Legacy","Server","W3580","End of Life",3,2009,"45 nm","$1,059.00 ",4,8,3330,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066/1333 ",3,32
"1628","Legacy","Desktop","i7-960","End of Interactive Support",4,2009,"45 nm","$305.00 ",4,8,3200,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1165","Legacy","Server","W3565","End of Life",4,2009,"45 nm","$305.00 ",4,8,3200,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"273","Legacy","Desktop","G6950","End of Interactive Support",1,2010,"32 nm","$77.00 - $96.00",2,2,2800,8.03008409426756,"SmartCache","64-bit",73,16.38,"DDR3 1066",2,17
"639","Legacy","Desktop","D410","End of Interactive Support",1,2010,"45 nm","$43.00 ",1,2,1660,6.23832462503951,"L2","64-bit",10,4,"DDR2 667/800",1,6.4
"640","Legacy","Desktop","D510","End of Interactive Support",1,2010,"45 nm","$63.00 ",2,4,1660,6.93147180559945,"L2","64-bit",13,4,"DDR2 667/800",1,6.4
"1582","Legacy","Desktop","i3-530","End of Interactive Support",1,2010,"32 nm","$117.00 ",2,4,2930,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1583","Legacy","Desktop","i3-540","End of Interactive Support",1,2010,"32 nm","$109.00 - $117.00",2,4,3060,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1598","Legacy","Desktop","i5-650","End of Interactive Support",1,2010,"32 nm","$177.00 ",2,4,3200,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1600","Legacy","Desktop","i5-660","End of Interactive Support",1,2010,"32 nm","$177.00 - $193.00",2,4,3330,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1601","Legacy","Desktop","i5-661","End of Interactive Support",1,2010,"32 nm","$177.00 ",2,4,3330,8.31776616671934,"SmartCache","64-bit",87,16.38,"DDR3 1066/1333",2,21
"1602","Legacy","Desktop","i5-670","End of Interactive Support",1,2010,"32 nm","$305.00 ",2,4,3460,8.31776616671934,"SmartCache","64-bit",73,16.6,"DDR3 1066/1333",2,21
"1604","Legacy","Desktop","i5-750S","End of Interactive Support",1,2010,"45 nm","$279.00 ",4,4,2400,9.01091334727929,"SmartCache","64-bit",82,16,"DDR3 1066/1333",2,21
"1620","Legacy","Desktop","i7-860S","End of Interactive Support",1,2010,"45 nm","$362.00 ",4,8,2530,9.01091334727929,"SmartCache","64-bit",82,16,"DDR3 1066/1333",2,21
"1625","Legacy","Desktop","i7-930","End of Interactive Support",1,2010,"45 nm","$305.00 ",4,8,2800,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1807","Legacy","Desktop","i7-980X","End of Interactive Support",1,2010,"32 nm","$1,059.00 ",6,12,3330,9.41637845538745,"SmartCache","64-bit",130,24,"DDR3 1066",3,25.6
"1115","Legacy","Embedded","EC5509","Launched",1,2010,"45 nm","$286.00 ",4,4,2000,9.01091334727929,"L3","64-bit",85,16,"",3,32
"1136","Legacy","Embedded","EC3539","Launched",1,2010,"45 nm","$326.00 ",4,4,2130,9.01091334727929,"L3","64-bit",65,16,"",3,32
"1137","Legacy","Embedded","EC5539","Launched",1,2010,"45 nm","$417.00 ",2,2,2270,8.31776616671934,"L3","64-bit",65,16,"",3,32
"1160","Legacy","Embedded","LC3518","Launched",1,2010,"45 nm","$221.00 ",1,1,1730,7.6246189861594,"L3","64-bit",23,16,"",2,25.6
"1193","Legacy","Embedded","LC3528","Launched",1,2010,"45 nm","$326.00 ",2,4,1730,8.31776616671934,"L3","64-bit",35,16,"",2,25.6
"1194","Legacy","Embedded","LC5518","Launched",1,2010,"45 nm","$493.00 ",4,8,1730,9.01091334727929,"L3","64-bit",48,16,"",3,32
"1221","Legacy","Embedded","LC5528","Launched",1,2010,"45 nm","$493.00 ",4,8,2130,9.01091334727929,"L3","64-bit",60,16,"",3,32
"1590","Legacy","Embedded","i5-520E","Launched",1,2010,"32 nm","$210.00 ",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,8.79,"DDR3 800/1066 ",2,17.1
"1606","Legacy","Embedded","i7-620LE","Launched",1,2010,"32 nm","$247.00 ",2,4,2000,8.31776616671934,"SmartCache","64-bit",25,8.79,"DDR3 800/1066 ",2,17.1
"1609","Legacy","Embedded","i7-620UE","Launched",1,2010,"32 nm","$248.00 ",2,4,1060,8.31776616671934,"SmartCache","64-bit",18,8.79,"DDR3 800",2,12.8
"2062","Legacy","Embedded","P1053","Launched",1,2010,"45 nm","$153.00 ",1,2,1330,7.6246189861594,"L3","64-bit",30,8,"DDR3 800",2,25.6
"634","Legacy","Mobile","N450","End of Interactive Support",1,2010,"45 nm","$64.00 ",1,2,1660,6.23832462503951,"L2","64-bit",5.5,2,"DDR2 667",1,5.85
"645","Legacy","Mobile","N470","End of Interactive Support",1,2010,"45 nm","N/A",1,2,1830,6.23832462503951,"L2","64-bit",6.5,2,"DDR2 667",1,5.85
"1575","Legacy","Mobile","i3-330E","End of Interactive Support",1,2010,"32 nm","$138.00 ",2,4,2130,8.03008409426756,"SmartCache","64-bit",35,8.79,"DDR3 800/1066 ",2,17.1
"1576","Legacy","Mobile","i3-330M","End of Interactive Support",1,2010,"32 nm","$177.00 ",2,4,2130,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1578","Legacy","Mobile","i3-350M","End of Interactive Support",1,2010,"32 nm","N/A",2,4,2260,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1585","Legacy","Mobile","i5-430M","End of Interactive Support",1,2010,"32 nm","N/A",2,4,2260,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1591","Legacy","Mobile","i5-520M","End of Interactive Support",1,2010,"32 nm","$210.00 - $227.00",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,8.3,"DDR3 800/1066 ",2,17.1
"1592","Legacy","Mobile","i5-520UM","End of Interactive Support",1,2010,"32 nm","N/A",2,4,1070,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1593","Legacy","Mobile","i5-540M","End of Interactive Support",1,2010,"32 nm","$269.00 ",2,4,2530,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1607","Legacy","Mobile","i7-620LM","End of Interactive Support",1,2010,"32 nm","N/A",2,4,2000,8.31776616671934,"SmartCache","64-bit",25,8,"DDR3 800/1066 ",2,17.1
"1608","Legacy","Mobile","i7-620M","End of Interactive Support",1,2010,"32 nm","$250.00 ",2,4,2660,8.31776616671934,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1610","Legacy","Mobile","i7-620UM","End of Interactive Support",1,2010,"32 nm","N/A",2,4,1060,8.31776616671934,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1611","Legacy","Mobile","i7-640LM","End of Interactive Support",1,2010,"32 nm","N/A",2,4,2130,8.31776616671934,"SmartCache","64-bit",25,8,"DDR3 800/1066 ",2,17.1
"1613","Legacy","Mobile","i7-640UM","End of Interactive Support",1,2010,"32 nm","N/A",2,4,1200,8.31776616671934,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1615","Legacy","Mobile","i7-660UE","End of Interactive Support",1,2010,"32 nm","$248.00 ",2,4,1330,8.31776616671934,"Standard","64-bit",18,8.79,"DDR3 800",2,12.8
"1635","Legacy","Mobile","i7-610E","End of Interactive Support",1,2010,"32 nm","$232.00 ",2,4,2530,8.31776616671934,"SmartCache","64-bit",35,8.79,"DDR3 800/1066 ",2,17.1
"2038","Legacy","Mobile","U3405","End of Interactive Support",1,2010,"32 nm","$105.00 ",2,2,1060,7.6246189861594,"Standard","64-bit",18,8,"DDR3 800/1066 ",2,17.1
"2041","Legacy","Mobile","P4505","End of Interactive Support",1,2010,"32 nm","$68.00 ",2,2,1860,7.6246189861594,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"2063","Legacy","Mobile","P4500","End of Interactive Support",1,2010,"32 nm","$68.00 ",2,2,1860,7.6246189861594,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"972","Legacy","Server","E5620","Launched",1,2010,"32 nm","$369.00 - $391.00",4,8,2400,9.41637845538745,"SmartCache","64-bit",80,288,"DDR3 800/1066 ",3,25.6
"974","Legacy","Server","E5630","End of Life",1,2010,"32 nm","$551.00 - $554.00",4,8,2530,9.41637845538745,"SmartCache","64-bit",80,288,"DDR3 800/1066 ",3,25.6
"977","Legacy","Server","E5640","End of Life",1,2010,"32 nm","$774.00 - $777.00",4,8,2660,9.41637845538745,"SmartCache","64-bit",80,288,"DDR3 800/1066 ",3,25.6
"980","Legacy","Server","E5645","Launched",1,2010,"32 nm","$525.00 - $554.00",6,12,2400,9.41637845538745,"SmartCache","64-bit",80,288,"DDR3 800/1066/1333 ",3,32
"985","Legacy","Server","L5609","End of Life",1,2010,"32 nm","$440.00 ",4,4,1860,9.41637845538745,"SmartCache","64-bit",40,288,"DDR3 800/1066 ",3,25.6
"993","Legacy","Server","L5630","End of Life",1,2010,"32 nm","$551.00 - $554.00",4,8,2130,9.41637845538745,"SmartCache","64-bit",40,288,"DDR3 800/1066 ",3,25.6
"994","Legacy","Server","E5503","Launched",1,2010,"45 nm","N/A",2,2,2000,8.31776616671934,"SmartCache","64-bit",80,144,"DDR3 800",3,19.2
"1008","Legacy","Server","L5640","End of Life",1,2010,"32 nm","$996.00 - $999.00",6,12,2260,9.41637845538745,"SmartCache","64-bit",60,288,"DDR3 800/1066/1333 ",3,32
"1009","Legacy","Server","E5507","Launched",1,2010,"45 nm","N/A",4,4,2260,8.31776616671934,"SmartCache","64-bit",80,144,"DDR3 800",3,19.2
"1022","Legacy","Server","X5650","End of Life",1,2010,"32 nm","$996.00 - $999.00",6,12,2660,9.41637845538745,"SmartCache","64-bit",95,288,"DDR3 800/1066/1333 ",3,32
"1030","Legacy","Server","X5660","End of Life",1,2010,"32 nm","$1219.00 - $1222.00",6,12,2800,9.41637845538745,"SmartCache","64-bit",95,288,"DDR3 800/1066/1333 ",3,32
"1036","Legacy","Server","X5667","End of Life",1,2010,"32 nm","$1,440.00 ",4,8,3060,9.41637845538745,"SmartCache","64-bit",95,288,"DDR3 800/1066/1333 ",3,32
"1049","Legacy","Server","X5670","End of Life",1,2010,"32 nm","$1440.00 - $1443.00",6,12,2930,9.41637845538745,"SmartCache","64-bit",95,288,"DDR3 800/1066/1333 ",3,32
"1063","Legacy","Server","L3406","End of Life",1,2010,"32 nm","$201.00 ",2,4,2260,8.31776616671934,"SmartCache","64-bit",30,16.38,"DDR3 1066",2,17
"1094","Legacy","Server","X5677","End of Life",1,2010,"32 nm","$1,663.00 ",4,8,3460,9.41637845538745,"SmartCache","64-bit",130,288,"DDR3 800/1066/1333 ",3,32
"1098","Legacy","Server","W3530","End of Life",1,2010,"45 nm","$305.00 ",4,8,2800,9.01091334727929,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1134","Legacy","Server","W3680","End of Life",1,2010,"32 nm","$594.00 ",6,12,3330,9.41637845538745,"SmartCache","64-bit",130,24,"DDR3 800/1066/1333 ",3,32
"1135","Legacy","Server","X5680","End of Life",1,2010,"32 nm","$1663.00 - $1666.00",6,12,3330,9.41637845538745,"SmartCache","64-bit",130,288,"DDR3 800/1066/1333 ",3,32
"653","Legacy","Desktop","D525","End of Interactive Support",2,2010,"45 nm","$63.00 ",2,4,1800,6.93147180559945,"L2","64-bit",13,4,"DDR3 800 (SODIMM only); DDR2 667/800",1,6.4
"654","Legacy","Desktop","D425","End of Interactive Support",2,2010,"45 nm","$42.00 ",1,2,1800,6.23832462503951,"L2","64-bit",10,4,"DDR3 800 (SODIMM only); DDR2 667/800",1,6.4
"1584","Legacy","Desktop","i3-550","End of Interactive Support",2,2010,"32 nm","$117.00 ",2,4,3200,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1599","Legacy","Desktop","i5-655K","End of Interactive Support",2,2010,"32 nm","$177.00 ",2,4,3200,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"1622","Legacy","Desktop","i7-870S","End of Interactive Support",2,2010,"45 nm","N/A",4,8,2660,9.01091334727929,"SmartCache","64-bit",82,16,"DDR3 1066/1333",2,21
"1623","Legacy","Desktop","i7-875K","End of Interactive Support",2,2010,"45 nm","$353.00 ",4,8,2930,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1624","Legacy","Desktop","i7-880","End of Interactive Support",2,2010,"45 nm","N/A",4,8,3060,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1634","Legacy","Desktop","i5-680","End of Interactive Support",2,2010,"32 nm","$305.00 ",2,4,3600,8.31776616671934,"SmartCache","64-bit",73,16.6,"DDR3 1066/1333",2,21
"337","Legacy","Mobile","U5400","End of Interactive Support",2,2010,"32 nm","N/A",2,2,1200,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"338","Legacy","Mobile","P6000","End of Interactive Support",2,2010,"32 nm","N/A",2,2,1860,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"618","Legacy","Mobile","Z600","End of Interactive Support",2,2010,"45 nm","N/A",1,2,1200,6.23832462503951,"SmartCache","32-bit",1.3,1,"LPDDR1 400",1,1.6
"628","Legacy","Mobile","Z615","End of Interactive Support",2,2010,"45 nm","N/A",1,2,1600,6.23832462503951,"SmartCache","32-bit",2.2,2,"DDR2 800",1,3.2
"633","Legacy","Mobile","Z625","End of Interactive Support",2,2010,"45 nm","N/A",1,2,1900,6.23832462503951,"SmartCache","32-bit",2.2,2,"DDR2 800",1,3.2
"638","Legacy","Mobile","N455","End of Interactive Support",2,2010,"45 nm","$64.00 ",1,2,1660,6.23832462503951,"L2","64-bit",6.5,2,"DDR2/3",1,5.85
"652","Legacy","Mobile","N475","End of Interactive Support",2,2010,"45 nm","N/A",1,2,1830,6.23832462503951,"L2","64-bit",6.5,2,"DDR2/3",1,5.85
"1577","Legacy","Mobile","i3-330UM","End of Interactive Support",2,2010,"32 nm","N/A",2,4,1200,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1586","Legacy","Mobile","i5-430UM","End of Interactive Support",2,2010,"32 nm","N/A",2,4,1200,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1587","Legacy","Mobile","i5-450M","End of Interactive Support",2,2010,"32 nm","N/A",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1594","Legacy","Mobile","i5-540UM","End of Interactive Support",2,2010,"32 nm","N/A",2,4,1200,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1616","Legacy","Mobile","i7-660UM","End of Interactive Support",2,2010,"32 nm","N/A",2,4,1330,8.31776616671934,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"2061","Legacy","Mobile","U3400","End of Interactive Support",2,2010,"32 nm","N/A",2,2,1060,7.6246189861594,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1220","Legacy","Server","X3480","End of Life",2,2010,"45 nm","$623.00 ",4,8,3060,9.01091334727929,"SmartCache","64-bit",95,32,"DDR3 800/1066/1333 ",2,21
"1605","Legacy","Desktop","i5-760","End of Interactive Support",3,2010,"45 nm","$213.00 ",4,4,2800,9.01091334727929,"SmartCache","64-bit",95,16,"DDR3 1066/1333",2,21
"1629","Legacy","Desktop","i7-970","End of Interactive Support",3,2010,"32 nm","$594.00 ",6,12,3200,9.41637845538745,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
"1631","Legacy","Desktop","i3-560","End of Interactive Support",3,2010,"32 nm","$117.00 ",2,4,3330,8.31776616671934,"SmartCache","64-bit",73,16.38,"DDR3 1066/1333",2,21
"486","Legacy","Embedded","E620","Launched",3,2010,"45 nm","$19.00 ",1,2,600,6.23832462503951,"L2","32-bit",3.3,2,"DDR2 800",1,5.85
"614","Legacy","Embedded","E620T","Launched",3,2010,"45 nm","$22.00 ",1,2,600,6.23832462503951,"L2","32-bit",3.3,2,"DDR2 800",1,5.85
"617","Legacy","Embedded","E640","Launched",3,2010,"45 nm","$29.00 ",1,2,1000,6.23832462503951,"L2","32-bit",3.6,2,"DDR2 800",1,5.85
"620","Legacy","Embedded","E640T","Launched",3,2010,"45 nm","$37.00 ",1,2,1000,6.23832462503951,"L2","32-bit",3.6,2,"DDR2 800",1,5.85
"627","Legacy","Embedded","E660","Launched",3,2010,"45 nm","$54.00 ",1,2,1300,6.23832462503951,"L2","32-bit",3.6,2,"DDR2 800",1,5.85
"630","Legacy","Embedded","E660T","Launched",3,2010,"45 nm","$64.00 ",1,2,1300,6.23832462503951,"L2","32-bit",3.6,2,"DDR2 800",1,5.85
"643","Legacy","Embedded","E680","Launched",3,2010,"45 nm","$74.00 ",1,2,1600,6.23832462503951,"L2","32-bit",4.5,2,"DDR2 800",1,5.85
"650","Legacy","Embedded","E680T","Launched",3,2010,"45 nm","$85.00 ",1,2,1600,6.23832462503951,"L2","32-bit",4.5,2,"DDR2 800",1,5.85
"265","Legacy","Mobile","P6200","End of Interactive Support",3,2010,"32 nm","N/A",2,2,2130,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"295","Legacy","Mobile","P6100","End of Interactive Support",3,2010,"32 nm","N/A",2,2,2000,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"644","Legacy","Mobile","N550","End of Interactive Support",3,2010,"45 nm","N/A",2,4,1500,6.93147180559945,"L2","64-bit",8.5,2,"DDR3",1,5.85
"1579","Legacy","Mobile","i3-370M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2400,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1580","Legacy","Mobile","i3-380M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2530,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1588","Legacy","Mobile","i5-460M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2530,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1595","Legacy","Mobile","i5-560M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2660,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1596","Legacy","Mobile","i5-560UM","End of Interactive Support",3,2010,"32 nm","N/A",2,4,1330,8.03008409426756,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1597","Legacy","Mobile","i5-580M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2660,8.03008409426756,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1612","Legacy","Mobile","i7-640M","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2800,8.31776616671934,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1614","Legacy","Mobile","i7-660LM","End of Interactive Support",3,2010,"32 nm","N/A",2,4,2260,8.31776616671934,"SmartCache","64-bit",25,8,"DDR3 800/1066 ",2,17.1
"1617","Legacy","Mobile","i7-680UM","End of Interactive Support",3,2010,"32 nm","N/A",2,4,1460,8.31776616671934,"SmartCache","64-bit",18,8,"DDR3 800",2,12.8
"1618","Legacy","Mobile","i7-740QM","End of Interactive Support",3,2010,"45 nm","$380.00 ",4,8,1730,8.72323127482751,"SmartCache","64-bit",45,8,"DDR3 1066/1333",2,21
"1619","Legacy","Mobile","i7-840QM","End of Interactive Support",3,2010,"45 nm","$570.00 ",4,8,1860,9.01091334727929,"SmartCache","64-bit",45,8,"DDR3 1066/1333",2,21
"1804","Legacy","Mobile","i7-940XM","End of Interactive Support",3,2010,"45 nm","N/A",4,8,2130,9.01091334727929,"SmartCache","64-bit",55,8,"DDR3 1066/1333",2,21
"2016","Legacy","Mobile","P4600","End of Interactive Support",3,2010,"32 nm","N/A",2,2,2000,7.6246189861594,"SmartCache","64-bit",35,8,"DDR3 800/1066 ",2,17.1
"1076","Legacy","Server","W3670","End of Life",3,2010,"32 nm","$594.00 ",6,12,3200,9.41637845538745,"SmartCache","64-bit",130,24,"DDR3 800/1066 ",3,25.6
